GRN Date,Client SKU ID / EAN,Category,Style,Size,Color,MRP,Recieved Qty
05-08-2026,MTOR38CFKSML005425,T-shirt,OR38,SML,CFK,425,7
06-08-2026,MTOR38CFKMED005425,T-shirt,OR38,MED,CFK,425,1
05-08-2026,MTOR38CFKMED005425,T-shirt,OR38,MED,CFK,425,36
05-08-2026,MTOR38CFKLAR005425,T-shirt,OR38,LAR,CFK,425,36
05-08-2026,MTOR38BLKXLR005425,T-shirt,OR38,XLR,BLK,425,31
05-08-2026,MTOR38BLKSML005425,T-shirt,OR38,SML,BLK,425,8
06-08-2026,MTOR38BLKMED005425,T-shirt,OR38,MED,BLK,425,2
05-08-2026,MTOR38BLKMED005425,T-shirt,OR38,MED,BLK,425,35
05-08-2026,MTOR38BLKLAR005425,T-shirt,OR38,LAR,BLK,425,37
05-08-2026,MTOR27YLWXLR429,T-shirt,OR27,XLR,YLW,429,1
04-08-2026,MTOR27YLWXLR429,T-shirt,OR27,XLR,YLW,429,16
04-08-2026,MTOR27YLWSML429,T-shirt,OR27,SML,YLW,429,2
04-08-2026,MTOR27YLWMED429,T-shirt,OR27,MED,YLW,429,13
04-08-2026,MTOR27YLWLAR429,T-shirt,OR27,LAR,YLW,429,6
05-08-2026,MTOR27VIOXLR429,T-shirt,OR27,XLR,VIO,429,29
04-08-2026,MTOR27VIOXLR429,T-shirt,OR27,XLR,VIO,429,54
05-08-2026,MTOR27VIOSML429,T-shirt,OR27,SML,VIO,429,15
04-08-2026,MTOR27VIOSML429,T-shirt,OR27,SML,VIO,429,19
05-08-2026,MTOR27VIOMED429,T-shirt,OR27,MED,VIO,429,21
04-08-2026,MTOR27VIOMED429,T-shirt,OR27,MED,VIO,429,62
05-08-2026,MTOR27VIOLAR429,T-shirt,OR27,LAR,VIO,429,5
04-08-2026,MTOR27VIOLAR429,T-shirt,OR27,LAR,VIO,429,72
05-08-2026,MTOR27VIO2XL429,T-shirt,OR27,2XL,VIO,429,3
04-08-2026,MTOR27VIO2XL429,T-shirt,OR27,2XL,VIO,429,4
05-08-2026,MTOR27TELXLR429,T-shirt,OR27,XLR,TEL,429,29
04-08-2026,MTOR27TELXLR429,T-shirt,OR27,XLR,TEL,429,54
05-08-2026,MTOR27TELSML429,T-shirt,OR27,SML,TEL,429,23
04-08-2026,MTOR27TELSML429,T-shirt,OR27,SML,TEL,429,17
05-08-2026,MTOR27TELMED429,T-shirt,OR27,MED,TEL,429,20
04-08-2026,MTOR27TELMED429,T-shirt,OR27,MED,TEL,429,63
05-08-2026,MTOR27TELLAR429,T-shirt,OR27,LAR,TEL,429,5
04-08-2026,MTOR27TELLAR429,T-shirt,OR27,LAR,TEL,429,82
05-08-2026,MTOR27TEL2XL429,T-shirt,OR27,2XL,TEL,429,4
04-08-2026,MTOR27TEL2XL429,T-shirt,OR27,2XL,TEL,429,5
04-08-2026,MTOR27RYBXLR429,T-shirt,OR27,XLR,RYB,429,17
04-08-2026,MTOR27RYBSML429,T-shirt,OR27,SML,RYB,429,2
04-08-2026,MTOR27RYBMED429,T-shirt,OR27,MED,RYB,429,14
05-08-2026,MTOR27RYBLAR429,T-shirt,OR27,LAR,RYB,429,1
04-08-2026,MTOR27RYBLAR429,T-shirt,OR27,LAR,RYB,429,8
06-08-2026,MTOR27OFWXLR429,T-shirt,OR27,XLR,OFW,429,17
05-08-2026,MTOR27OFWXLR429,T-shirt,OR27,XLR,OFW,429,67
06-08-2026,MTOR27OFWSML429,T-shirt,OR27,SML,OFW,429,13
05-08-2026,MTOR27OFWSML429,T-shirt,OR27,SML,OFW,429,12
06-08-2026,MTOR27OFWMED429,T-shirt,OR27,MED,OFW,429,25
05-08-2026,MTOR27OFWMED429,T-shirt,OR27,MED,OFW,429,59
06-08-2026,MTOR27OFWLAR429,T-shirt,OR27,LAR,OFW,429,38
05-08-2026,MTOR27OFWLAR429,T-shirt,OR27,LAR,OFW,429,33
05-08-2026,MTOR27OFW2XL429,T-shirt,OR27,2XL,OFW,429,7
05-08-2026,MTOR27NYBXLR429,T-shirt,OR27,XLR,NYB,429,29
04-08-2026,MTOR27NYBXLR429,T-shirt,OR27,XLR,NYB,429,54
05-08-2026,MTOR27NYBSML429,T-shirt,OR27,SML,NYB,429,9
04-08-2026,MTOR27NYBSML429,T-shirt,OR27,SML,NYB,429,5
05-08-2026,MTOR27NYBMED429,T-shirt,OR27,MED,NYB,429,21
04-08-2026,MTOR27NYBMED429,T-shirt,OR27,MED,NYB,429,61
05-08-2026,MTOR27NYBLAR429,T-shirt,OR27,LAR,NYB,429,5
04-08-2026,MTOR27NYBLAR429,T-shirt,OR27,LAR,NYB,429,69
05-08-2026,MTOR27NYB2XL429,T-shirt,OR27,2XL,NYB,429,3
04-08-2026,MTOR27NYB2XL429,T-shirt,OR27,2XL,NYB,429,4
04-08-2026,MTOR27MNBXLR429,T-shirt,OR27,XLR,MNB,429,17
04-08-2026,MTOR27MNBSML429,T-shirt,OR27,SML,MNB,429,2
04-08-2026,MTOR27MNBMED429,T-shirt,OR27,MED,MNB,429,16
04-08-2026,MTOR27MNBLAR429,T-shirt,OR27,LAR,MNB,429,8
04-08-2026,MTOR27LTGXLR429,T-shirt,OR27,XLR,LTG,429,17
04-08-2026,MTOR27LTGSML429,T-shirt,OR27,SML,LTG,429,2
04-08-2026,MTOR27LTGMED429,T-shirt,OR27,MED,LTG,429,16
04-08-2026,MTOR27LTGLAR429,T-shirt,OR27,LAR,LTG,429,9
05-08-2026,MTOR27HBEXLR429,T-shirt,OR27,XLR,HBE,429,29
04-08-2026,MTOR27HBEXLR429,T-shirt,OR27,XLR,HBE,429,54
05-08-2026,MTOR27HBESML429,T-shirt,OR27,SML,HBE,429,17
02-08-2026,WBW130WLGXLR579,Sports Bra,W130,XLR,WLG,579,48
02-08-2026,WBW130WLGLAR579,Sports Bra,W130,LAR,WLG,579,48
02-08-2026,WBW130BLKXLR579,Sports Bra,W130,XLR,BLK,579,48
02-08-2026,WBW130BLKLAR579,Sports Bra,W130,LAR,BLK,579,48
02-08-2026,MTP702WHTXLR599,T-shirt,P702,XLR,WHT,599,25
02-08-2026,MTP702WHTMED599,T-shirt,P702,MED,WHT,599,25
02-08-2026,MTP702WHTLAR599,T-shirt,P702,LAR,WHT,599,25
02-08-2026,MTP702WHT2XL599,T-shirt,P702,2XL,WHT,599,25
02-08-2026,MTP702OBRXLR599,T-shirt,P702,XLR,OBR,599,25
02-08-2026,MTP702OBRMED599,T-shirt,P702,MED,OBR,599,25
02-08-2026,MTP702OBRLAR599,T-shirt,P702,LAR,OBR,599,25
02-08-2026,MTP702OBR2XL599,T-shirt,P702,2XL,OBR,599,25
02-08-2026,MTP702GVEXLR599,T-shirt,P702,XLR,GVE,599,25
02-08-2026,MTP702GVEMED599,T-shirt,P702,MED,GVE,599,25
02-08-2026,MTP702GVELAR599,T-shirt,P702,LAR,GVE,599,25
02-08-2026,MTP702GVE2XL599,T-shirt,P702,2XL,GVE,599,15
02-08-2026,MTP702BLKXLR599,T-shirt,P702,XLR,BLK,599,25
